"","pos","mito","Sample"
"1",3,8.12443016674315,"Patient_1_primary"
"2",4,8.42805568303503,"Patient_1_primary"
"3",5,8.66596297996023,"Patient_1_primary"
"4",6,8.90763347101117,"Patient_1_primary"
"5",7,9.30246290347254,"Patient_1_primary"
"6",8,9.73936056294936,"Patient_1_primary"
"7",9,10.1907908826679,"Patient_1_primary"
"8",10,10.6518586507572,"Patient_1_primary"
"9",11,11.0146856356127,"Patient_1_primary"
"10",12,11.2574269542604,"Patient_1_primary"
"11",13,11.4546428025088,"Patient_1_primary"
"12",14,11.6232828514609,"Patient_1_primary"
"13",15,12.043261434909,"Patient_1_primary"
"14",16,12.4480648615573,"Patient_1_primary"
"15",17,13.1958390699097,"Patient_1_primary"
"16",18,13.981459385039,"Patient_1_primary"
"17",19,14.8596909897506,"Patient_1_primary"
"18",20,15.4940798531436,"Patient_1_primary"
"19",21,16.1238794554077,"Patient_1_primary"
"20",22,16.4021416551935,"Patient_1_primary"
"21",23,16.6428025087961,"Patient_1_primary"
"22",24,16.8007036867064,"Patient_1_primary"
"23",25,16.9411044821784,"Patient_1_primary"
"24",26,17.2094538779257,"Patient_1_primary"
"25",27,17.5545969098975,"Patient_1_primary"
"26",28,17.9027076640661,"Patient_1_primary"
"27",29,18.3134465351079,"Patient_1_primary"
"28",30,18.7567079700168,"Patient_1_primary"
"29",31,19.1407373412881,"Patient_1_primary"
"30",32,19.4331650604253,"Patient_1_primary"
"31",33,19.8068838916934,"Patient_1_primary"
"32",34,20.0901330885727,"Patient_1_primary"
"33",35,20.3213094691755,"Patient_1_primary"
"34",36,20.5412574575493,"Patient_1_primary"
"35",37,20.8310234052318,"Patient_1_primary"
"36",38,21.1142114119627,"Patient_1_primary"
"37",39,21.9701086125134,"Patient_1_primary"
"38",40,22.8226097598287,"Patient_1_primary"
"39",41,23.6815052776503,"Patient_1_primary"
"40",42,24.4238641578706,"Patient_1_primary"
"41",43,25.1188312681658,"Patient_1_primary"
"42",44,25.2270154505125,"Patient_1_primary"
"43",45,25.4200703686706,"Patient_1_primary"
"44",46,25.6420070368671,"Patient_1_primary"
"45",47,25.8984243536791,"Patient_1_primary"
"46",48,25.8779562490439,"Patient_1_primary"
"47",49,25.8145020651675,"Patient_1_primary"
"48",50,25.7615725868135,"Patient_1_primary"
"49",51,25.6145938503901,"Patient_1_primary"
"50",52,25.5382591402784,"Patient_1_primary"
"51",53,25.6852072816277,"Patient_1_primary"
"52",54,25.8783845800826,"Patient_1_primary"
"53",55,25.8877772678599,"Patient_1_primary"
"54",56,25.8073122227321,"Patient_1_primary"
"55",57,25.6704604558666,"Patient_1_primary"
"56",58,25.5449594615267,"Patient_1_primary"
"57",59,25.3944011014227,"Patient_1_primary"
"58",60,25.3653663760135,"Patient_1_primary"
"59",61,25.4099739941869,"Patient_1_primary"
"60",62,25.4426801284993,"Patient_1_primary"
"61",63,25.4131864769772,"Patient_1_primary"
"62",64,25.4542756616185,"Patient_1_primary"
"63",65,25.514578552853,"Patient_1_primary"
"64",66,25.5504665748814,"Patient_1_primary"
"65",67,25.6454336851767,"Patient_1_primary"
"66",68,25.7475906379073,"Patient_1_primary"
"67",69,25.7911886186324,"Patient_1_primary"
"68",70,25.7537402478201,"Patient_1_primary"
"69",71,25.8158788435062,"Patient_1_primary"
"70",72,25.808719596145,"Patient_1_primary"
"71",73,25.9550558360104,"Patient_1_primary"
"72",74,26.0818112283922,"Patient_1_primary"
"73",75,26.2893376166437,"Patient_1_primary"
"74",76,26.636928254551,"Patient_1_primary"
"75",77,26.9690377849166,"Patient_1_primary"
"76",78,27.8176227627352,"Patient_1_primary"
"77",79,28.6601499158635,"Patient_1_primary"
"78",80,29.553403702004,"Patient_1_primary"
"79",81,30.2201009637448,"Patient_1_primary"
"80",82,30.8184794248126,"Patient_1_primary"
"81",83,31.0743460302891,"Patient_1_primary"
"82",84,31.344684105859,"Patient_1_primary"
"83",85,31.3112130946918,"Patient_1_primary"
"84",86,31.3677527918005,"Patient_1_primary"
"85",87,30.8994339911274,"Patient_1_primary"
"86",88,30.2051093773902,"Patient_1_primary"
"87",89,29.396359186171,"Patient_1_primary"
"88",90,28.7995410738871,"Patient_1_primary"
"89",91,28.0715618785376,"Patient_1_primary"
"90",92,27.6657794095151,"Patient_1_primary"
